what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1326333938661
started,bundle,org.eclipse.dltk.launching,2.0.0.v20100524-0038,"org.eclipse.dltk.launching",1326333938662
started,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1326333938662
started,bundle,org.eclipse.equinox.app,1.3.0.v20100512,"org.eclipse.equinox.app",1326333938662
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1326333938662
started,bundle,org.eclipse.equinox.ds,1.2.0.v20100507,"org.eclipse.equinox.ds",1326333938663
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1326333938664
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.artifact.repository",1326333938664
started,bundle,org.eclipse.equinox.p2.core,2.0.0.v20100510,"org.eclipse.equinox.p2.core",1326333938665
started,bundle,org.eclipse.equinox.p2.director,2.0.0.v20100525,"org.eclipse.equinox.p2.director",1326333938665
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.200.v20100601,"org.eclipse.equinox.p2.directorywatcher",1326333938671
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1326333938671
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1326333938671
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1326333938672
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1326333938672
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1326333938673
started,bundle,org.eclipse.equinox.p2.publisher,1.1.0.v20100513,"org.eclipse.equinox.p2.publisher",1326333938673
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1326333938673
started,bundle,org.eclipse.equinox.p2.repository,2.0.0.v20100519,"org.eclipse.equinox.p2.repository",1326333938674
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.0.v20100513,"org.eclipse.equinox.p2.touchpoint.eclipse",1326333938674
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1326333938675
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1326333938676
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1326333938676
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1326333938676
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1326333938676
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1326333938677
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1326333938677
started,bundle,org.eclipse.jface,3.6.0.I20100601-0800,"org.eclipse.jface",1326333938678
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1326333938682
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1326333938682
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1326333938683
started,bundle,org.eclipse.php.core,2.2.0.v20100616-1900,"org.eclipse.php.core",1326333938683
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1326333938684
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1326333938684
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1326333938684
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1326333938684
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1326333938684
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1326333938684
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1326333938684
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1326333938684
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1326333938685
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1326333938685
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1326333938685
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1326333938685
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1326333938685
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1326333938685
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1326333938686
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1326333938694
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1326333938695
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1326333938695
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1326333938695
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1326333938695
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1326333938695
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1326333938695
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1326333938695
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1326333938695
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1326333938695
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1326333938696
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1326333938696
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1326333938696
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1326333938696
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1326333938696
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1326333938696
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1326333938696
os,sysinfo,,,"linux",1326333938707
arch,sysinfo,,,"x86_64",1326333938707
ws,sysinfo,,,"gtk",1326333938707
locale,sysinfo,,,"es_VE",1326333938707
processors,sysinfo,,,"2",1326333938707
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1326333938707
java.runtime.version,sysinfo,,,"1.6.0_23-b23",1326333938707
java.specification.name,sysinfo,,,"Java Platform API Specification",1326333938707
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326333938707
java.specification.version,sysinfo,,,"1.6",1326333938707
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1326333938707
java.version,sysinfo,,,"1.6.0_23",1326333938707
java.vm.info,sysinfo,,,"mixed mode",1326333938707
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1326333938707
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326333938707
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326333938707
java.vm.specification.version,sysinfo,,,"1.0",1326333938707
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1326333938708
java.vm.version,sysinfo,,,"20.0-b11",1326333938708
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1326333938974
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1326333939009
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1326333939041
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1326333939108
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326333940191
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1326334028240
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1326334028241
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326334028306
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1326334035583
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1326334035625
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1326334035686
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326334035690
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326334036388
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326334036402
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326334051229
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326334053309
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326334080393
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326334083374
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326334175478
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326334175957
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326335013629
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326335017162
started,bundle,org.eclipse.rse.ui,3.1.100.v201005282245,"org.eclipse.rse.ui",1326335055876
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1326335055880
started,bundle,org.eclipse.jgit,1.2.0.201110210311,"org.eclipse.jgit",1326335055959
started,bundle,org.eclipse.egit.core,1.2.0.201110220614,"org.eclipse.egit.core",1326335056144
started,bundle,org.eclipse.egit.ui,1.2.0.201110220614,"org.eclipse.egit.ui",1326335056375
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1326335087345
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1326335087680
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1326335087714
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326335110597
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1326335110600
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1326335110613
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1326335110759
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1326335110773
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1326335110783
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1326335110845
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1326335110846
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1326335110861
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1326335110882
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1326335110891
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1326335110904
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1326335110927
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326335117225
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1326335119460
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1326335123797
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1326335123863
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1326335123880
